experiment,model_file,strategy_return,hs300_return,excess_return,max_drawdown,drawdown_days,recovery_days,recovered,exp_key,exp_dir_norm,score
model/search_itransformer_74_3\exp_7,best_model.pth,7.611578040000033,6.39611821790913,1.215459822090903,2.900038334236287,1,5.0,True,search_itransformer_74_3/exp_7,model/search_itransformer_74_3/exp_7,2.5392576623563983
model/search_itransformer_74_3\exp_9,best_model.pth,7.556964360000062,6.39611821790913,1.1608461420909322,1.8842349599999975,2,2.0,True,search_itransformer_74_3/exp_9,model/search_itransformer_74_3/exp_9,2.805769098627305
model/search_itransformer_74_3\exp_9,best_model_sliding.pth,7.556964360000062,6.39611821790913,1.1608461420909322,1.8842349599999975,2,2.0,True,search_itransformer_74_3/exp_9,model/search_itransformer_74_3/exp_9,2.805769098627305
model/search_itransformer_74_3\exp_9,best_model.pth,7.556964360000062,6.39611821790913,1.1608461420909322,1.8842349599999975,2,2.0,True,search_itransformer_74_3/exp_9,model/search_itransformer_74_3/exp_9,2.805769098627305
model/search_itransformer_74_3\exp_9,best_model_sliding.pth,7.556964360000062,6.39611821790913,1.1608461420909322,1.8842349599999975,2,2.0,True,search_itransformer_74_3/exp_9,model/search_itransformer_74_3/exp_9,2.805769098627305
model/search_itransformer_74_3\exp_18,best_model.pth,7.511093300000016,6.39611821790913,1.1149750820908855,4.922475678384209,10,,False,search_itransformer_74_3/exp_18,model/search_itransformer_74_3/exp_18,1.8621871411120094
model/search_itransformer_74_3\exp_52,best_model.pth,7.485632510000029,6.39611821790913,1.0895142920908985,7.080910449676302,3,,False,search_itransformer_74_3/exp_52,model/search_itransformer_74_3/exp_52,1.1968341567243908
model/search_itransformer_74_3\exp_52,best_model_sliding.pth,7.485632510000029,6.39611821790913,1.0895142920908985,7.080910449676302,3,,False,search_itransformer_74_3/exp_52,model/search_itransformer_74_3/exp_52,1.1968341567243908
model/search_itransformer_74_3\exp_34,best_model_sliding.pth,7.380596380000015,6.39611821790913,0.9844781620908849,6.44253542922307,3,,False,search_itransformer_74_3/exp_34,model/search_itransformer_74_3/exp_34,1.3148213718603508
model/search_itransformer_74_3\exp_36,best_model.pth,7.301510990000004,6.39611821790913,0.9053927720908739,5.660583517072792,3,,False,search_itransformer_74_3/exp_36,model/search_itransformer_74_3/exp_36,1.4940471725054263
model/search_itransformer_74_3\exp_17,best_model.pth,7.281694340000011,6.39611821790913,0.8855761220908809,8.042468502217218,10,,False,search_itransformer_74_3/exp_17,model/search_itransformer_74_3/exp_17,0.7656100219621034
model/search_itransformer_74_3\exp_17,best_model_sliding.pth,7.281694340000011,6.39611821790913,0.8855761220908809,8.042468502217218,10,,False,search_itransformer_74_3/exp_17,model/search_itransformer_74_3/exp_17,0.7656100219621034
model/search_itransformer_74_3\exp_64,best_model_sliding.pth,7.002608160000023,6.39611821790913,0.6064899420908931,8.545073566442156,11,,False,search_itransformer_74_3/exp_64,model/search_itransformer_74_3/exp_64,0.41946817669463066
model/search_itransformer_74_3\exp_7,best_model_sliding.pth,6.79815851000003,6.39611821790913,0.4020402920908994,2.881040460036013,1,5.0,True,search_itransformer_74_3/exp_7,model/search_itransformer_74_3/exp_7,1.9755633536164778
model/search_itransformer_74_3\exp_7,best_model_sliding.pth,6.79815851000003,6.39611821790913,0.4020402920908994,2.881040460036013,1,5.0,True,search_itransformer_74_3/exp_7,model/search_itransformer_74_3/exp_7,1.9755633536164778
model/search_itransformer_74_3\exp_27,best_model.pth,6.756475100000037,6.39611821790913,0.36035688209090644,8.131461339354454,10,,False,search_itransformer_74_3/exp_27,model/search_itransformer_74_3/exp_27,0.3712587028209504
model/search_itransformer_74_3\exp_41,best_model.pth,6.6801636300000355,6.39611821790913,0.2840454120909053,7.719924565817733,10,,False,search_itransformer_74_3/exp_41,model/search_itransformer_74_3/exp_41,0.44130170588196593
model/search_itransformer_74_3\exp_28,best_model.pth,6.662923350000027,6.39611821790913,0.26680513209089707,2.8225723459691534,2,4.0,True,search_itransformer_74_3/exp_28,model/search_itransformer_74_3/exp_28,1.898439175836534
model/search_itransformer_74_3\exp_56,best_model.pth,6.620487320000046,6.39611821790913,0.22436910209091554,2.582599875777708,10,,False,search_itransformer_74_3/exp_56,model/search_itransformer_74_3/exp_56,1.9407256958939807
model/search_itransformer_74_3\exp_61,best_model_sliding.pth,6.466611750000051,6.39611821790913,0.07049353209092057,8.52794348338656,11,,False,search_itransformer_74_3/exp_61,model/search_itransformer_74_3/exp_61,0.04940971461132859
model/search_itransformer_74_3\exp_58,best_model.pth,6.381962990000023,6.39611821790913,-0.014155227909107282,3.5196496493504856,3,5.0,True,search_itransformer_74_3/exp_58,model/search_itransformer_74_3/exp_58,1.4926437328221314
model/search_itransformer_74_3\exp_60,best_model.pth,6.246133020000033,6.39611821790913,-0.14998519790909715,6.884781379431611,3,,False,search_itransformer_74_3/exp_60,model/search_itransformer_74_3/exp_60,0.38802323479780076
model/search_itransformer_74_3\exp_60,best_model_sliding.pth,6.246133020000033,6.39611821790913,-0.14998519790909715,6.884781379431611,3,,False,search_itransformer_74_3/exp_60,model/search_itransformer_74_3/exp_60,0.38802323479780076
model/search_itransformer_74_3\exp_10,best_model_sliding.pth,6.169073260000002,6.39611821790913,-0.22704495790912826,8.590929188332144,10,,False,search_itransformer_74_3/exp_10,model/search_itransformer_74_3/exp_10,-0.1777629398723808
model/search_itransformer_74_3\exp_47,best_model_sliding.pth,6.150533390000001,6.39611821790913,-0.24558482790912883,10.094876208997249,11,,False,search_itransformer_74_3/exp_47,model/search_itransformer_74_3/exp_47,-0.6419249550719126
model/search_itransformer_74_3\exp_1,best_model.pth,6.0954937800000275,6.39611821790913,-0.30062443790910276,2.7587354200000136,2,2.0,True,search_itransformer_74_3/exp_1,model/search_itransformer_74_3/exp_1,1.520389554627276
model/search_itransformer_74_3\exp_1,best_model_sliding.pth,6.0954937800000275,6.39611821790913,-0.30062443790910276,2.7587354200000136,2,2.0,True,search_itransformer_74_3/exp_1,model/search_itransformer_74_3/exp_1,1.520389554627276
model/search_itransformer_74_3\exp_50,best_model_sliding.pth,6.087227580000043,6.39611821790913,-0.3088906379090872,6.120407115262513,15,,False,search_itransformer_74_3/exp_50,model/search_itransformer_74_3/exp_50,0.5061017060485373
model/search_itransformer_74_3\exp_59,best_model_sliding.pth,6.045115250000022,6.39611821790913,-0.3510029679091087,6.116443923969463,1,,False,search_itransformer_74_3/exp_59,model/search_itransformer_74_3/exp_59,0.4778120324364372
model/search_itransformer_74_3\exp_65,best_model_sliding.pth,6.021299980000028,6.39611821790913,-0.3748182379091025,9.030961093857474,11,,False,search_itransformer_74_3/exp_65,model/search_itransformer_74_3/exp_65,-0.41321380752996184
model/search_itransformer_74_3\exp_63,best_model_sliding.pth,5.875620550000016,6.39611821790913,-0.5204976679091144,9.430686419613261,11,,False,search_itransformer_74_3/exp_63,model/search_itransformer_74_3/exp_63,-0.6351070062567064
